1756066994, 15m, 21075269, FT8, M0PMI, IO82UE, 223, 'Rx', SV1AIN, KM17VW12, 236, -3
1756066994, 15m, 21074718, FT8, M0PMI, IO82UE, 223, 'Rx', IT9GMD, JM77MM62, 248, -5
1756067009, 15m, 21074893, FT8, M0PMI, IO82UE, 223, 'Rx', LZ5AM, KN22, 212, -7
1756067009, 15m, 21076063, FT8, M0PMI, IO82UE, 223, 'Rx', SV1SLC, KM27AX, 236, -6
1756067010, 15m, 21075218, FT8, M0PMI, IO82UE, 223, 'Rx', DG0OME, JO51HK, 230, -16
1756067039, 15m, 21074621, FT8, M0PMI, IO82UE, 223, 'Rx', GM5BDX, IO75NS, 279, -13
1756067039, 15m, 21076122, FT8, M0PMI, IO82UE, 223, 'Rx', TA3ZZ, KN40MF, 390, -14
1756067040, 15m, 21076005, FT8, M0PMI, IO82UE, 223, 'Rx', DH0DM, JO61XF, 230, -13
1756067040, 15m, 21074545, FT8, M0PMI, IO82UE, 223, 'Rx', KC3UUV, FM19JW, 291, -16
1756067054, 15m, 21076038, FT8, M0PMI, IO82UE, 223, 'Rx', EA5XA, IM98SV, 281, -3
1756067069, 15m, 21075379, FT8, M0PMI, IO82UE, 223, 'Rx', UR7EC, KN78WM75, 288, -5
1756067069, 15m, 21075551, FT8, M0PMI, IO82UE, 223, 'Rx', SP2MF, JO94GL65, 269, -14
1756067070, 15m, 21074439, FT8, M0PMI, IO82UE, 223, 'Rx', XQ5BRC, FF33KD, 112, -15
1756067084, 15m, 21074932, FT8, M0PMI, IO82UE, 223, 'Rx', CT1GYD, IN51QD60BR, 272, -6
1756067084, 15m, 21074581, FT8, M0PMI, IO82UE, 223, 'Rx', LU4AET, GF05TJ, 100, -14
1756067099, 15m, 21076311, FT8, M0PMI, IO82UE, 223, 'Rx', HA3MQ, JN95DU66, 239, 1
1756067099, 15m, 21075276, FT8, M0PMI, IO82UE, 223, 'Rx', G4DPZ, IO82XL72, 223, -6
